  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3029174    
  0.7846816       1.064985      0.9588209      0.9917265       1.040931    
   1.093042       1.144644       1.194627       1.242619       1.288527    
   1.332373       1.374222       1.414156       1.452260       1.488612    
   1.521732       1.552275       1.582351       1.611271       1.638940    
   1.665343       1.690487       1.714390       1.737073       1.758556    
   1.778861       1.798008       1.816015       1.833054       1.850478    
   1.865871       1.880003       1.892978       1.904847       1.915645    
   1.925405       1.934156       1.942130       1.949201       1.955262    
   1.960517       1.966592       1.973349       1.974260       1.973349    
   1.971555       1.967947       1.963552       1.954999       1.946932    
   1.938564       1.929454       1.919458       1.908497       1.896518    
   1.883472       1.869298       1.853889       1.836474       1.819467    
   1.801517       1.782457       1.762275       1.740965       1.718533    
   1.695861       1.671993       1.648277       1.619920       1.590046    
   1.558624       1.525610       1.490948       1.454572       1.416411    
   1.376382       1.334399       1.290374       1.244229       1.195915    
   1.145428       1.093042       1.040932      0.9917274      0.9588212    
   1.064988      0.7846878      0.3029323      0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.5909207      0.9466006      0.9522189      0.9700125       1.019931    
   1.074859       1.129512       1.182356       1.232921       1.281110    
   1.326963       1.370569       1.412036       1.451471       1.488974    
   1.524636       1.556385       1.586048       1.615099       1.642947    
